version,hemi,subject_id,pair,measure,value
default,L,PNC003,ses-01_ses-02,consistency,0.9977662018604784
default,L,PNC003,ses-02_ses-03,consistency,0.9987593810973885
default,L,PNC003,ses-03_ses-01,consistency,0.9964138280054805
default,L,PNC006,ses-01_ses-02,consistency,0.9913954189533986
default,L,PNC006,ses-02_ses-03,consistency,0.9899964019899583
default,L,PNC006,ses-03_ses-01,consistency,0.994353723164192
default,L,PNC007,ses-01_ses-02,consistency,0.9859181836108839
default,L,PNC007,ses-02_ses-03,consistency,0.992282604142602
default,L,PNC007,ses-03_ses-01,consistency,0.9664589999933839
default,L,PNC009,ses-01_ses-02,consistency,0.9986207925562893
default,L,PNC009,ses-02_ses-03,consistency,0.998198410413311
default,L,PNC009,ses-03_ses-01,consistency,0.997830690166932
default,L,PNC010,ses-01_ses-02,consistency,0.9961328694842858
default,L,PNC010,ses-02_ses-03,consistency,0.9875713752613107
default,L,PNC010,ses-03_ses-01,consistency,0.9911096781441479
default,L,PNC015,ses-01_ses-02,consistency,0.9978664559843899
default,L,PNC015,ses-02_ses-03,consistency,0.9987723550070107
default,L,PNC015,ses-03_ses-01,consistency,0.9989126474520361
default,L,PNC016,ses-01_ses-02,consistency,0.9985010296392861
default,L,PNC016,ses-02_ses-03,consistency,0.9971702416500406
default,L,PNC016,ses-03_ses-01,consistency,0.9987693880426142
default,L,PNC018,ses-01_ses-02,consistency,0.9964743640406218
default,L,PNC018,ses-02_ses-03,consistency,0.9954702525760857
default,L,PNC018,ses-03_ses-01,consistency,0.9948480746449461
default,L,PNC019,ses-01_ses-02,consistency,0.9988418741656777
default,L,PNC019,ses-02_ses-03,consistency,0.9927568585648984
default,L,PNC019,ses-03_ses-01,consistency,0.9944073114685488
default,L,PNC022,ses-01_ses-02,consistency,0.9971300234234899
default,L,PNC022,ses-02_ses-03,consistency,0.9979179807174621
default,L,PNC022,ses-03_ses-01,consistency,0.9984522872505351
default,R,PNC003,ses-01_ses-02,consistency,0.9929705358706152
default,R,PNC003,ses-02_ses-03,consistency,0.9967612772876441
default,R,PNC003,ses-03_ses-01,consistency,0.9933125739860961
default,R,PNC006,ses-01_ses-02,consistency,0.9928113992977666
default,R,PNC006,ses-02_ses-03,consistency,0.9888731722361045
default,R,PNC006,ses-03_ses-01,consistency,0.9932540471115212
default,R,PNC007,ses-01_ses-02,consistency,0.989313531559385
default,R,PNC007,ses-02_ses-03,consistency,0.991380085686393
default,R,PNC007,ses-03_ses-01,consistency,0.9654164476020467
default,R,PNC009,ses-01_ses-02,consistency,0.9960301048242577
default,R,PNC009,ses-02_ses-03,consistency,0.9967592115957369
default,R,PNC009,ses-03_ses-01,consistency,0.996464941411977
default,R,PNC010,ses-01_ses-02,consistency,0.9983477412067527
default,R,PNC010,ses-02_ses-03,consistency,0.9902279157825343
default,R,PNC010,ses-03_ses-01,consistency,0.994788360418355
default,R,PNC015,ses-01_ses-02,consistency,0.9981337775783967
default,R,PNC015,ses-02_ses-03,consistency,0.9988989103112021
default,R,PNC015,ses-03_ses-01,consistency,0.9974694957360368
default,R,PNC016,ses-01_ses-02,consistency,0.9992784031290057
default,R,PNC016,ses-02_ses-03,consistency,0.9978250353185174
default,R,PNC016,ses-03_ses-01,consistency,0.9987514330234293
default,R,PNC018,ses-01_ses-02,consistency,0.9974180626035926
default,R,PNC018,ses-02_ses-03,consistency,0.9977544471693058
default,R,PNC018,ses-03_ses-01,consistency,0.9966384088545932
default,R,PNC019,ses-01_ses-02,consistency,0.9980934623156295
