version,hemi,subject_id,pair,measure,value
v1.5.1,L,HC001,ses-01_ses-02,consistency,0.9947332502563857
v1.5.1,L,HC005,ses-01_ses-02,consistency,0.998563094640892
v1.5.1,L,HC009,ses-01_ses-02,consistency,0.9939382326571674
v1.5.1,L,HC010,ses-01_ses-02,consistency,0.9977642200249934
v1.5.1,L,HC012,ses-01_ses-02,consistency,0.985902902749831
v1.5.1,L,HC016,ses-01_ses-02,consistency,0.9863581999543957
v1.5.1,L,HC017,ses-01_ses-02,consistency,0.9944531907816442
v1.5.1,L,HC025,ses-01_ses-02,consistency,0.9793813855464995
v1.5.1,L,HC027,ses-01_ses-02,consistency,0.9963535902258774
v1.5.1,L,HC029,ses-01_ses-02,consistency,0.9925217833378839
v1.5.1,L,HC032,ses-01_ses-02,consistency,0.9870896283681461
v1.5.1,L,HC036,ses-01_ses-02,consistency,0.9943498491273264
v1.5.1,L,HC040,ses-01_ses-02,consistency,0.9885153596204571
v1.5.1,L,HC044,ses-01_ses-02,consistency,0.9984905483133114
v1.5.1,L,HC046,ses-01_ses-02,consistency,0.9788634992775282
v1.5.1,L,HC052,ses-01_ses-02,consistency,0.9761149449644765
v1.5.1,L,HC053,ses-01_ses-02,consistency,0.9957877900662918
v1.5.1,L,HC054,ses-01_ses-02,consistency,0.9907850033220202
v1.5.1,L,HC055,ses-01_ses-02,consistency,0.9893021491517843
v1.5.1,L,HC056,ses-01_ses-02,consistency,0.9710756859422005
v1.5.1,L,HC062,ses-01_ses-02,consistency,0.9893620368596799
v1.5.1,L,HC063,ses-01_ses-02,consistency,0.9945594706667875
v1.5.1,L,HC065,ses-01_ses-02,consistency,0.9838925847304475
v1.5.1,L,HC067,ses-01_ses-02,consistency,0.9983089625490488
v1.5.1,L,HC068,ses-01_ses-02,consistency,0.9830592168150458
v1.5.1,L,HC069,ses-01_ses-02,consistency,0.9876398074059097
v1.5.1,L,HC071,ses-01_ses-02,consistency,0.9908647668593619
v1.5.1,L,HC072,ses-01_ses-02,consistency,0.9924026209662348
v1.5.1,L,HC076,ses-01_ses-02,consistency,0.9962386044348334
v1.5.1,L,HC077,ses-01_ses-02,consistency,0.9875984632274627
v1.5.1,L,HC079,ses-01_ses-02,consistency,0.9976892211305528
v1.5.1,L,HC080,ses-01_ses-02,consistency,0.9970944253850974
v1.5.1,L,HC081,ses-01_ses-02,consistency,0.9789002225611121
v1.5.1,L,HC082,ses-01_ses-02,consistency,0.9902030741295342
v1.5.1,L,HC083,ses-01_ses-02,consistency,0.9986933969653878
v1.5.1,L,HC085,ses-01_ses-02,consistency,0.9876426294143766
v1.5.1,L,HC087,ses-01_ses-02,consistency,0.997877209588714
v1.5.1,L,HC088,ses-01_ses-02,consistency,0.9919279977558644
v1.5.1,L,HC091,ses-01_ses-02,consistency,0.990627181645471
