version,hemi,subject_id,pair,measure,value
v1.5.1,L,PNC003,ses-01_ses-02,consistency,0.9973363430966706
v1.5.1,L,PNC003,ses-02_ses-03,consistency,0.9987351794080466
v1.5.1,L,PNC003,ses-03_ses-01,consistency,0.9959197963358564
v1.5.1,L,PNC006,ses-01_ses-02,consistency,0.991653338355424
v1.5.1,L,PNC006,ses-02_ses-03,consistency,0.9896037504508511
v1.5.1,L,PNC006,ses-03_ses-01,consistency,0.9933793866066108
v1.5.1,L,PNC007,ses-01_ses-02,consistency,0.9887914387117239
v1.5.1,L,PNC007,ses-02_ses-03,consistency,0.9922425172455508
v1.5.1,L,PNC007,ses-03_ses-01,consistency,0.9676190860508687
v1.5.1,L,PNC009,ses-01_ses-02,consistency,0.9979876905042137
v1.5.1,L,PNC009,ses-02_ses-03,consistency,0.9972387318315027
v1.5.1,L,PNC009,ses-03_ses-01,consistency,0.9968184231926134
v1.5.1,L,PNC010,ses-01_ses-02,consistency,0.9956855921430552
v1.5.1,L,PNC010,ses-02_ses-03,consistency,0.9850653742271018
v1.5.1,L,PNC010,ses-03_ses-01,consistency,0.9941416848960116
v1.5.1,L,PNC015,ses-01_ses-02,consistency,0.9984232598962108
v1.5.1,L,PNC015,ses-02_ses-03,consistency,0.9985940457940253
v1.5.1,L,PNC015,ses-03_ses-01,consistency,0.9981063375957471
v1.5.1,L,PNC016,ses-01_ses-02,consistency,0.9978556083584615
v1.5.1,L,PNC016,ses-02_ses-03,consistency,0.9968455400015229
v1.5.1,L,PNC016,ses-03_ses-01,consistency,0.996099108583031
v1.5.1,L,PNC018,ses-01_ses-02,consistency,0.996861264530683
v1.5.1,L,PNC018,ses-02_ses-03,consistency,0.9967364949739983
v1.5.1,L,PNC018,ses-03_ses-01,consistency,0.996453466368064
v1.5.1,L,PNC019,ses-01_ses-02,consistency,0.9976679518073662
v1.5.1,L,PNC019,ses-02_ses-03,consistency,0.9916434989016973
v1.5.1,L,PNC019,ses-03_ses-01,consistency,0.9939878691838188
v1.5.1,L,PNC022,ses-01_ses-02,consistency,0.9977235217310501
v1.5.1,L,PNC022,ses-02_ses-03,consistency,0.9989436640668378
v1.5.1,L,PNC022,ses-03_ses-01,consistency,0.9988389300530178
v1.5.1,R,PNC003,ses-01_ses-02,consistency,0.9975802016208828
v1.5.1,R,PNC003,ses-02_ses-03,consistency,0.9984289288475676
v1.5.1,R,PNC003,ses-03_ses-01,consistency,0.9962333120436676
v1.5.1,R,PNC006,ses-01_ses-02,consistency,0.9935842572367501
v1.5.1,R,PNC006,ses-02_ses-03,consistency,0.9905096591827778
v1.5.1,R,PNC006,ses-03_ses-01,consistency,0.9950291294545225
v1.5.1,R,PNC007,ses-01_ses-02,consistency,0.9896712254623949
v1.5.1,R,PNC007,ses-02_ses-03,consistency,0.9923312383749658
v1.5.1,R,PNC007,ses-03_ses-01,consistency,0.9669877882697269
v1.5.1,R,PNC009,ses-01_ses-02,consistency,0.9974595614166958
v1.5.1,R,PNC009,ses-02_ses-03,consistency,0.9972037427996657
v1.5.1,R,PNC009,ses-03_ses-01,consistency,0.9974104859020515
v1.5.1,R,PNC010,ses-01_ses-02,consistency,0.998403727192759
v1.5.1,R,PNC010,ses-02_ses-03,consistency,0.9893248538685584
v1.5.1,R,PNC010,ses-03_ses-01,consistency,0.9937193363886864
v1.5.1,R,PNC015,ses-01_ses-02,consistency,0.9962822940471175
v1.5.1,R,PNC015,ses-02_ses-03,consistency,0.9985774355753408
v1.5.1,R,PNC015,ses-03_ses-01,consistency,0.9965462715677116
v1.5.1,R,PNC016,ses-01_ses-02,consistency,0.9986046452838246
v1.5.1,R,PNC016,ses-02_ses-03,consistency,0.9964281677912319
v1.5.1,R,PNC016,ses-03_ses-01,consistency,0.9986631172131368
v1.5.1,R,PNC018,ses-01_ses-02,consistency,0.9958324897228469
v1.5.1,R,PNC018,ses-02_ses-03,consistency,0.9972207152768656
v1.5.1,R,PNC018,ses-03_ses-01,consistency,0.9960890626491692
v1.5.1,R,PNC019,ses-01_ses-02,consistency,0.9987117167267638
v1.5.1,R,PNC019,ses-02_ses-03,consistency,0.9915684312411895
v1.5.1,R,PNC019,ses-03_ses-01,consistency,0.9942607079762196
v1.5.1,R,PNC022,ses-01_ses-02,consistency,0.9968252601180534
v1.5.1,R,PNC022,ses-02_ses-03,consistency,0.9976316641503225
v1.5.1,R,PNC022,ses-03_ses-01,consistency,0.998767066462925
v2.0.0,L,PNC003,ses-01_ses-02,consistency,0.9977662018604784
v2.0.0,L,PNC003,ses-02_ses-03,consistency,0.9987593810973885
v2.0.0,L,PNC003,ses-03_ses-01,consistency,0.9964138280054805
v2.0.0,L,PNC006,ses-01_ses-02,consistency,0.9913954189533986
v2.0.0,L,PNC006,ses-02_ses-03,consistency,0.9899964019899583
v2.0.0,L,PNC006,ses-03_ses-01,consistency,0.994353723164192
v2.0.0,L,PNC007,ses-01_ses-02,consistency,0.9859181836108839
v2.0.0,L,PNC007,ses-02_ses-03,consistency,0.992282604142602
v2.0.0,L,PNC007,ses-03_ses-01,consistency,0.9664589999933839
v2.0.0,L,PNC009,ses-01_ses-02,consistency,0.9986207925562893
v2.0.0,L,PNC009,ses-02_ses-03,consistency,0.998198410413311
v2.0.0,L,PNC009,ses-03_ses-01,consistency,0.997830690166932
v2.0.0,L,PNC010,ses-01_ses-02,consistency,0.9961328694842858
v2.0.0,L,PNC010,ses-02_ses-03,consistency,0.9875713752613107
v2.0.0,L,PNC010,ses-03_ses-01,consistency,0.9911096781441479
v2.0.0,L,PNC015,ses-01_ses-02,consistency,0.9978664559843899
v2.0.0,L,PNC015,ses-02_ses-03,consistency,0.9987723550070107
v2.0.0,L,PNC015,ses-03_ses-01,consistency,0.9989126474520361
v2.0.0,L,PNC016,ses-01_ses-02,consistency,0.9985010296392861
v2.0.0,L,PNC016,ses-02_ses-03,consistency,0.9971702416500406
v2.0.0,L,PNC016,ses-03_ses-01,consistency,0.9987693880426142
v2.0.0,L,PNC018,ses-01_ses-02,consistency,0.9964743640406218
