version,hemi,subject_id,pair,measure,value
synthlayer,L,PNC003,ses-01_ses-02,consistency,0.992048485102661
synthlayer,L,PNC006,ses-01_ses-02,consistency,0.9809675493597863
synthlayer,L,PNC007,ses-01_ses-02,consistency,0.9860263484239754
synthlayer,L,PNC009,ses-01_ses-02,consistency,0.9776078157346197
synthlayer,L,PNC010,ses-01_ses-02,consistency,0.9927345813033847
synthlayer,L,PNC015,ses-01_ses-02,consistency,0.967185517982268
synthlayer,L,PNC016,ses-01_ses-02,consistency,0.9780880075177025
synthlayer,L,PNC016,ses-02_ses-03,consistency,0.9760416578555389
synthlayer,L,PNC016,ses-03_ses-01,consistency,0.991624307632453
synthlayer,L,PNC018,ses-01_ses-02,consistency,0.9739227426658266
synthlayer,L,PNC018,ses-02_ses-03,consistency,0.9789146075293734
synthlayer,L,PNC018,ses-03_ses-01,consistency,0.9698637753140558
synthlayer,L,PNC019,ses-01_ses-02,consistency,0.4992039154154024
synthlayer,L,PNC022,ses-01_ses-02,consistency,0.9957247460487312
synthlayer,R,PNC003,ses-01_ses-02,consistency,0.9723030559792981
synthlayer,R,PNC006,ses-01_ses-02,consistency,0.9828048362565122
synthlayer,R,PNC007,ses-01_ses-02,consistency,0.9889461970957931
synthlayer,R,PNC009,ses-01_ses-02,consistency,0.9144085857750517
synthlayer,R,PNC010,ses-01_ses-02,consistency,0.9918607596328873
synthlayer,R,PNC016,ses-01_ses-02,consistency,0.9963720080301501
synthlayer,R,PNC018,ses-01_ses-02,consistency,0.908762378970016
synthlayer,R,PNC018,ses-02_ses-03,consistency,0.9136150244499268
synthlayer,R,PNC018,ses-03_ses-01,consistency,0.8839443876275394
synthlayer,R,PNC022,ses-01_ses-02,consistency,0.9959015392543658
synthlayer,R,PNC022,ses-02_ses-03,consistency,0.9980210896142053
synthlayer,R,PNC022,ses-03_ses-01,consistency,0.9963502541208812
vanilla,L,PNC003,ses-01_ses-02,consistency,0.9977662018604784
vanilla,L,PNC003,ses-02_ses-03,consistency,0.9987593810973885
vanilla,L,PNC003,ses-03_ses-01,consistency,0.9964138280054805
vanilla,L,PNC006,ses-01_ses-02,consistency,0.9913954189533986
vanilla,L,PNC006,ses-02_ses-03,consistency,0.9899964019899583
vanilla,L,PNC006,ses-03_ses-01,consistency,0.994353723164192
vanilla,L,PNC007,ses-01_ses-02,consistency,0.9859181836108839
vanilla,L,PNC007,ses-02_ses-03,consistency,0.992282604142602
vanilla,L,PNC007,ses-03_ses-01,consistency,0.9664589999933839
vanilla,L,PNC009,ses-01_ses-02,consistency,0.9986207925562893
